recordid,<fullpath>,<realpath>,<pageno>,<createdate>,城市,房源,小区,租金,看房人数,房型,面积,朝向,楼层,建立年代,地铁,链接
23,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,京泉馨苑东里3居室 01卧,京泉馨苑东里??,2660元/月,2,3室1厅??,14平米??,南,中楼层(共5层),,,https://bj.lianjia.com/zufang/BJ0002957623.html
24,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,清缘里中区3居室 01卧,清缘里中区??,2730元/月,1,3室1厅??,14平米??,南,高楼层(共10层),1998年建板楼,,https://bj.lianjia.com/zufang/BJ0002982924.html
25,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,宝盛里3居室 01卧,宝盛里??,2890元/月,1,3室1厅??,11平米??,南,低楼层(共6层),1998年建板楼,,https://bj.lianjia.com/zufang/BJ0002910873.html
26,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,水木天成3居室 02卧,水木天成??,2590元/月,0,3室1厅??,10平米??,东,中楼层(共28层),2005年建塔楼,,https://bj.lianjia.com/zufang/BJ0002982931.html
27,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,宝盛北里3居室 01卧,宝盛北里??,2790元/月,0,3室1厅??,14平米??,北,低楼层(共6层),2004年建板楼,,https://bj.lianjia.com/zufang/BJ0002995202.html
28,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,永泰园3居室 02卧,永泰园??,2790元/月,0,3室1厅??,11平米??,南,高楼层(共6层),1998年建板楼,距离8号线永泰庄站968米,https://bj.lianjia.com/zufang/BJ0002961671.html
29,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,宝盛里3居室 01卧,宝盛里??,2890元/月,0,3室1厅??,13平米??,南,高楼层(共6层),2000年建板楼,,https://bj.lianjia.com/zufang/BJ0002981672.html
30,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,水木天成3居室 01卧,水木天成??,2890元/月,0,3室1厅??,12平米??,东南,中楼层(共28层),2005年建塔楼,,https://bj.lianjia.com/zufang/BJ0002982930.html
31,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,知春路47号院3居室 03卧,知春路47号院??,2930元/月,0,3室1厅??,9平米??,东,低楼层(共6层),1996年建板楼,距离10号线知春路站365米,https://bj.lianjia.com/zufang/BJ0002997902.html
32,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,北洼路44号院3居室 03卧,北洼路44号院??,2590元/月,0,3室1厅??,8平米??,北,低楼层(共6层),1989年建板楼,距离10号线西钓鱼台站828米,https://bj.lianjia.com/zufang/BJ0002999097.html
33,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,世华龙樾3居室 01卧,世华龙樾??,2790元/月,0,3室2厅??,11平米??,南,低楼层(共18层),2013年建板塔结合,距离8号线西小口站299米,https://bj.lianjia.com/zufang/BJ0002914800.html
34,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,永泰东里3居室 01卧,永泰东里??,2590元/月,0,3室1厅??,13平米??,南,高楼层(共6层),2000年建板楼,距离8号线永泰庄站263米,https://bj.lianjia.com/zufang/BJ0002924651.html
35,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,宝盛北里3居室 01卧,宝盛北里??,2590元/月,0,3室1厅??,17平米??,南,低楼层(共6层),2004年建板楼,,https://bj.lianjia.com/zufang/BJ0002927874.html
36,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,观林园3居室 01卧,观林园??,2660元/月,0,3室1厅??,14平米??,南,中楼层(共6层),2008年建板楼,,https://bj.lianjia.com/zufang/BJ0002969132.html
37,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,燕北园3居室 02卧,燕北园??,2690元/月,6,3室1厅??,9平米??,南,高楼层(共6层),1995年建板楼,,https://bj.lianjia.com/zufang/BJ0002980778.html
38,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,永泰东里2居室 01卧,永泰东里??,2890元/月,1,2室1厅??,14平米??,南,低楼层(共6层),1998年建板楼,距离8号线永泰庄站1045米,https://bj.lianjia.com/zufang/BJ0002975361.html
39,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,冠城大通百旺府4居室 01卧,冠城大通百旺府??,2790元/月,0,4室1厅??,15平米??,南,低楼层(共11层),2010年建板楼,,https://bj.lianjia.com/zufang/BJ0002968387.html
40,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,铭科苑3居室 01卧,铭科苑??,2630元/月,0,3室1厅??,10平米??,东,中楼层(共6层),1997年建板楼,,https://bj.lianjia.com/zufang/BJ0002981605.html
41,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,沁春家园4居室 05卧,沁春家园??,2590元/月,0,4室1厅??,9平米??,南,中楼层(共21层),2002年建塔楼,距离8号线育新站964米,https://bj.lianjia.com/zufang/BJ0002981767.html
42,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,育新花园3居室 01卧,育新花园??,2690元/月,0,3室1厅??,14平米??,西,高楼层(共22层),1996年建塔楼,距离8号线育新站195米,https://bj.lianjia.com/zufang/BJ0002980546.html
43,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,育新花园3居室 01卧,育新花园??,2690元/月,0,3室1厅??,12平米??,南,高楼层(共22层),1996年建塔楼,距离8号线育新站341米,https://bj.lianjia.com/zufang/BJ0002991606.html
44,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,航天五院小区4居室 05卧,航天五院小区??,2530元/月,0,4室1厅??,6平米??,西,中楼层(共6层),1994年建板楼,距离4号线国家图书馆站670米,https://bj.lianjia.com/zufang/BJ0002994130.html
45,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,永泰园3居室 03卧,永泰园??,2790元/月,0,3室1厅??,10平米??,北,低楼层(共6层),2000年建板楼,距离8号线永泰庄站800米,https://bj.lianjia.com/zufang/BJ0002975231.html
46,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,水木天成3居室 01卧,水木天成??,2760元/月,0,3室1厅??,12平米??,西南,低楼层(共28层),2005年建塔楼,,https://bj.lianjia.com/zufang/BJ0002951263.html
47,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,普惠南里3居室 02卧,普惠南里??,2890元/月,0,3室1厅??,10平米??,西,中楼层(共20层),1987年建塔楼,距离1号线公主坟站940米,https://bj.lianjia.com/zufang/BJ0003000690.html
48,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,世华龙樾3居室 03卧,世华龙樾??,2590元/月,0,3室1厅??,10平米??,北,低楼层(共18层),2013年建板塔结合,距离8号线西小口站223米,https://bj.lianjia.com/zufang/BJ0002970950.html
49,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,柳林馆3居室 03卧,柳林馆??,2890元/月,0,3室1厅??,9平米??,北,低楼层(共24层),1990年建塔楼,距离1号线军事博物馆站809米,https://bj.lianjia.com/zufang/BJ0002971880.html
50,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,龙翔路小区3居室 02卧,龙翔路小区??,2990元/月,0,3室1厅??,9平米??,北,中楼层(共18层),1992年建塔楼,距离10号线牡丹园站842米,https://bj.lianjia.com/zufang/BJ0002990939.html
51,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,观林园5居室 05卧,观林园??,2590元/月,0,5室1厅??,18平米??,南,低楼层(共6层),2011年建板楼,,https://bj.lianjia.com/zufang/BJ0002995066.html
52,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,金夕园3居室 03卧,金夕园??,2990元/月,0,3室1厅??,11平米??,西,中楼层(共17层),2004年建塔楼,,https://bj.lianjia.com/zufang/BJ0002987478.html
53,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,后屯路32号院3居室 02卧,后屯路32号院??,2790元/月,1,3室1厅??,11平米??,南,高楼层(共6层),1996年建板楼,距离8号线永泰庄站454米,https://bj.lianjia.com/zufang/BJ0002899561.html
54,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,定慧福里3居室 01卧,定慧福里??,2860元/月,0,3室1厅??,11平米??,南,低楼层(共15层),2009年建板塔结合,距离6号线海淀五路居站593米,https://bj.lianjia.com/zufang/BJ0002988536.html
55,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,百旺新城3居室 02卧,百旺新城??,2990元/月,0,3室1厅??,25平米??,北,高楼层(共6层),2004年建板楼,距离16号线西北旺站1128米,https://bj.lianjia.com/zufang/BJ0002988537.html
56,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,北无宿舍2居室 02卧,北无宿舍??,2890元/月,0,2室1厅??,7平米??,东,高楼层(共6层),1985年建板楼,,https://bj.lianjia.com/zufang/BJ0002959581.html
57,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,力度家园4居室 05卧,力度家园??,2560元/月,0,4室1厅??,15平米??,西,低楼层(共21层),2005年建塔楼,,https://bj.lianjia.com/zufang/BJ0002996035.html
58,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,知春路2号院3居室 03卧,知春路2号院??,2630元/月,0,3室1厅??,8平米??,南,高楼层(共6层),1996年建板楼,距离10号线西土城站253米,https://bj.lianjia.com/zufang/BJ0003001223.html
59,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,宝盛北里3居室 01卧,宝盛北里??,2690元/月,0,3室1厅??,17平米??,南,低楼层(共6层),2004年建板楼,,https://bj.lianjia.com/zufang/BJ0002987679.html
60,https://bj.lianjia.com/zufang/haidian/pg2rp3/,https://bj.lianjia.com/zufang/haidian/pg2rp3/,1,2017-08-24 14:01:15.0,北京,石油大院3居室 03卧,石油大院??,2930元/月,0,3室1厅??,11平米??,北,中楼层(共6层),1990年建板楼,,https://bj.lianjia.com/zufang/BJ0002969175.html
61,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,观景园3居室 02卧,观景园??,2560元/月,0,3室1厅??,9平米??,东,低楼层(共6层),2008年建板楼,,https://bj.lianjia.com/zufang/BJ0002928352.html
62,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,烟树园3居室 02卧,烟树园??,2860元/月,0,3室1厅??,8平米??,北,高楼层(共11层),2003年建塔楼,距离10号线火器营站1141米,https://bj.lianjia.com/zufang/BJ0002928920.html
63,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,世华龙樾3居室 02卧,世华龙樾??,2590元/月,0,3室1厅??,7平米??,南,中楼层(共18层),2013年建板塔结合,距离8号线西小口站299米,https://bj.lianjia.com/zufang/BJ0002979364.html
64,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,世华龙樾3居室 03卧,世华龙樾??,2990元/月,0,3室1厅??,17平米??,南,中楼层(共18层),2013年建板塔结合,距离8号线西小口站299米,https://bj.lianjia.com/zufang/BJ0002979366.html
65,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,世华龙樾3居室 01卧,世华龙樾??,2830元/月,0,3室1厅??,12平米??,南,低楼层(共18层),2013年建板塔结合,距离8号线西小口站223米,https://bj.lianjia.com/zufang/BJ0002970948.html
66,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,中国农业大学3居室 03卧,中国农业大学??,2760元/月,1,3室1厅??,7平米??,北,高楼层(共6层),2000年建板楼,距离15号线六道口站643米,https://bj.lianjia.com/zufang/BJ0002996274.html
67,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,圆明园西路2号院3居室 01卧,圆明园西路2号院??,2730元/月,0,3室1厅??,13平米??,南,高楼层(共6层),2000年建板楼,距离16号线农大南路站276米,https://bj.lianjia.com/zufang/BJ0002968851.html
68,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,唐家岭新城2居室 01卧,唐家岭新城??,2630元/月,1,2室1厅??,11平米??,南,高楼层(共19层),2011年建板塔结合,,https://bj.lianjia.com/zufang/BJ0002933002.html
69,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,远大园五区3居室 01卧,远大园六区??,2990元/月,0,3室1厅??,12平米??,南,高楼层(共6层),2000年建板楼,距离10号线车道沟站1000米,https://bj.lianjia.com/zufang/BJ0002991364.html
70,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,清缘里中区2居室 02卧,清缘里中区??,2760元/月,0,2室1厅??,11平米??,北,高楼层(共10层),1998年建板楼,,https://bj.lianjia.com/zufang/BJ0002990393.html
71,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,永泰园3居室 02卧,永泰园??,2890元/月,0,3室1厅??,8平米??,西,高楼层(共30层),2002年建塔楼,距离8号线永泰庄站714米,https://bj.lianjia.com/zufang/BJ0002938561.html
72,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,万寿寺北里3居室 02卧,万寿寺北里??,2790元/月,1,3室1厅??,10平米??,北,中楼层(共5层),1981年建板楼,,https://bj.lianjia.com/zufang/BJ0002995351.html
73,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,和韵佳园7居室 01卧,和韵佳园??,2990元/月,1,7室1厅??,12平米??,北,中楼层(共6层),2008年建板楼,,https://bj.lianjia.com/zufang/BJ0002925949.html
74,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,世华龙樾3居室 02卧,世华龙樾??,2590元/月,0,3室1厅??,9平米??,北,低楼层(共18层),2013年建板塔结合,距离8号线西小口站223米,https://bj.lianjia.com/zufang/BJ0002970949.html
75,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,门头馨园4居室 01卧,门头馨园??,2890元/月,0,4室1厅??,18平米??,南,低楼层(共6层),,,https://bj.lianjia.com/zufang/BJ0002987826.html
76,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,阜光里小区3居室 01卧,阜光里小区??,2960元/月,1,3室1厅??,16平米??,南,高楼层(共10层),1998年建板塔结合,距离9号线白堆子站866米,https://bj.lianjia.com/zufang/BJ0002997388.html
77,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,肖家河新村东区3居室 01卧,肖家河新村东区??,2560元/月,0,3室1厅??,8平米??,东,中楼层(共5层),,距离16号线农大南路站418米,https://bj.lianjia.com/zufang/BJ0002968896.html
78,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,铁西小区2居室 02卧,铁西小区??,2860元/月,1,2室1厅??,9平米??,东,高楼层(共6层),1990年建板楼,距离9号线北京西站站554米,https://bj.lianjia.com/zufang/BJ0002979825.html
79,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,育新花园2居室 01卧,育新花园??,2690元/月,2,2室1厅??,11平米??,南,中楼层(共6层),1995年建板楼,距离8号线育新站550米,https://bj.lianjia.com/zufang/BJ0002984921.html
80,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,加气混凝土厂宿舍3居室 01卧,加气混凝土厂宿舍??,2760元/月,1,3室1厅??,8平米??,南,低楼层(共7层),1996年建板楼,距离13号线上地站1144米,https://bj.lianjia.com/zufang/BJ0002987306.html
81,https://bj.lianjia.com/zufang/haidian/pg3rp3/,https://bj.lianjia.com/zufang/haidian/pg3rp3/,2,2017-08-24 14:01:34.0,北京,志新北里3居室 02卧,志新北里??,2590元/月,0,3室1厅??,14平米??,南,中楼层(共6层),1992年建板楼,,https://bj.lianjia.com/zufang/BJ0003001391.html
